artist_id	artist_name	genres
1	Megadeth	Grindcore|Jam rock|Samba|Disc jockey|Emo|Pop|Post-rock
2	Lil Wayne	Madrigal|Big beat|Madrigal|Shoegazing|Chiptune|Son montuno|Pop|Madrigal|Psychedelic rock|Electronic opera|Soul, Pop, RnB, Gospel, Hip Hop
3	Foo Fighters	Gospel|Progressive rock|Metallic Doom Rock|Emo|Technical death metal|Sacred|Japanese Pop|Post-punk|Jam rock|Technical death metal|Nu metal|Psychedelic rock|Grindcore|Industrial
4	Porcupine Tree	Post-rock|Adult album alternative|Music of Rostov|Pop|Punk rock|Metallic Doom Rock|Virtual band|Gospel|Jam rock|Grunge|Milonga|Mozarabic chant|Modal jazz|Educational|Melodic hardcore|Emo
5	No-Man	Grunge|Mozarabic chant|Virtual band|Doo-wop|Music of Rostov|Pop|Glam metal|Metallic Doom Rock|Speed metal|Modal jazz|Punk rock|Saeta|Milonga|Psychedelic rock|Speed metal|Adult album alternative|Salsa|Freak folk|Music of Montenegro|Melodic hardcore|Educational|Neo-classical metal|Mozarabic chant|Punk blues|Gospel
6	Airbag	Pop|Nu metal|Japanese Pop|Music of Rostov|Goa trance|Folk rock|Psychedelic rock|Clownstep|Folk|Mozarabic chant|Sacred|Metallic Doom Rock|Grunge|Industrial|Modal jazz|Acid rock|Milonga|Psychedelic trance|Modal jazz
7	Dream Theater	Breakbeat hardcore|Jam rock|Music of Rostov|Pop|Grindcore|Emo|Psychobilly|Jam band|Alternative dance|Virtual band|Metallic Doom Rock
8	Amon Amarth	Acid jazz|Drum and bass|Jam rock|Blues|Hardcore punk|Grindcore
9	Coma	Gospel|Metallic Doom Rock|Emo|Breakbeat hardcore|Jam rock|Mozarabic chant|Hardcore techno|Music of Rostov|Japanese Pop|Doo-wop|Technical death metal|Trip hop
10	Orchestral Manoeuvres in the Dark	Deathrock|Doo-wop|Deathrock|Psychedelic rock|Power metal|Synthpop|Salsa|Pop|Melodic hardcore|Metallic Doom Rock|Glam rock|Deathrock|Virtual band|Sacred|Visual Kei|Music of Andalusia|Danzón|Danzón|Electronic opera
11	a-ha	Psychedelic rock|Mambo|Deathrock|Deathrock|Pop|Doo-wop|Acid rock|Metallic Doom Rock|Power metal|Grindcore|Electronic opera|Sacred|Gospel|Grime|Danzón|Acid rock|Two Tone Ska|Punk blues|Salsa
12	Alter Bridge	Gospel|Emo|Technical death metal|Metallic Doom Rock|Hardcore techno|Jam rock|Progressive rock|Grindcore|Technical death metal|Breakbeat hardcore|Grindcore|Post-rock|Japanese Pop|Power noise|New Wave|Industrial
13	Limp Bizkit	Rock|Pop|Metallic Doom Rock|Jam rock|New Wave|Gospel|Emo|Hardcore techno|Symphonic black metal|Sonata form|Disco Lento|Acoustic guitar|Madrigal|Seven-string guitar|Disco Lento|Japanese Pop|Nu metal|Grindcore|Madrigal|Psychedelic rock
14	3 Inches of Blood	Psychobilly|Jam rock|Samba|Folk metal|Sludge metal|Drum and bass|True metal|Pop|Goregrind|Seven-string guitar|Acid jazz|Disc jockey|Blues|Classics
15	Kabanos	Metallic Doom Rock|Sonata form|Jam rock|Pop|Japanese Pop|Hardcore techno|Gospel|Emo|Seven-string guitar|Grindcore|Freak folk|Virtual band|Danish hip hop|New Wave|Deathcore|Metalcore
16	David Bowie	Trance|Grindcore|Metallic Doom Rock|Psychedelic rock|Music of Montenegro|Mozarabic chant|Virtual band|Mambo|Gospel|Sacred|Doo-wop|Breakbeat hardcore|Space rock|Educational|Melodic hardcore|Adult album alternative|Emo|Acid rock|Synthpop|Grunge|Bluegrass|Glam rock|Post-punk|Chicken scratch|Punk rock|Christian rock|Japanese Pop|Salsa|Freak folk|G-funk|Electronic art|Italian folk|Electronic opera|Alternative rock|Milonga
17	Hey	Metallic Doom Rock|Progressive rock|Gospel|Sacred|Emo|Japanese Pop
18	Faith No More	Pop|Metallic Doom Rock|Jam rock|Hardcore techno|Emo|Doom metal|Virtual band|Symphonic black metal|Grindcore|Progressive rock|Educational|Electronic art|Music of Wyoming|Breakbeat hardcore|Freak folk|Post-rock|Metalcore|Ramkbach|New Wave|Grindcore|Music of Rostov|Disco Lento|Sacred|Japanese Pop|Rock|Seven-string guitar|Psychedelic rock|Neo-classical metal|Post-punk|Folk metal|Detroit techno
19	Riverside	Post-rock|Music of Rostov|Pop|Jam rock|Metallic Doom Rock|Gospel|Mozarabic chant|Punk rock|Virtual band
20	Blackfield	Pop|Metallic Doom Rock|Music of Rostov|Gospel|Mozarabic chant|Psychedelic rock|Acid rock|Virtual band|Sacred|Adult album alternative|Grunge|Post-rock|Saeta
21	Anastacia	Bluegrass|Pop|Electronic opera|Soul, Pop, RnB, Gospel, Hip Hop|Acid rock|Music of Montenegro|Electronic art|Acid rock|Grindcore|Metallic Doom Rock|Reggae|Grime
22	Closterkeller	Vocal Improvisation|Celtic punk|Pop|Jam rock|Mambo|Nu-folk|Synthpop|Metallic Doom Rock|Mozarabic chant
23	Rootwater	Folk metal|Grindcore|Symphonic black metal|Hardcore punk|New Wave|Hardcore techno|Deathcore|Seven-string guitar|Sludge metal|G-funk|Metallic Doom Rock|Polkacore|Disc jockey|Post-rock|New Wave|Pop|Virtual band|Emo|Canadian rock|Crust punk
24	Pure Reason Revolution	Mozarabic chant|Music of Rostov|Pop|Shahin and Sepehr|Doo-wop|Gospel|Metallic Doom Rock|Milonga|Adult album alternative|Sacred|Virtual band|Punk rock|Post-punk|Post-rock|Melodic hardcore
25	God Is An Astronaut	Alternative dance|Grunge|Virtual band|Modal jazz|Contemporary Folk|Pop|Milonga|Doo-wop|Sacred|Metallic Doom Rock|Breakbeat hardcore|Music of Africa|Educational|Adult album alternative|Punk blues|Gospel
26	The Bill	Japanese Pop|Pop|Metallic Doom Rock
27	Red Hot Chili Peppers	Gospel|Metallic Doom Rock|Electronic art|Music of Wyoming|Japanese Pop|Sacred|Symphonic black metal|Grindcore|Psychedelic rock|Emo|Doom metal|Nu metal|Jam rock|Post-punk|Acid rock|Progressive rock
28	Avril Lavigne	Acid rock|Pop|Japanese Pop|Goa trance|Metallic Doom Rock|Nu metal|Gospel|Music of Montenegro|Acid rock|Industrial|Early|Goa trance|Sacred|Bozlak|Electronic opera|Tech House|punk, rock, hard rock|Folk rock|Blues|G-funk|Grime|Doo-wop|Acid rock|Kadans|Technical death metal|Aggrotech|Hyphy|Guaguancó|Classics
29	Rage Against the Machine	Gospel|Metallic Doom Rock|Jam rock|Rock|Emo|Hardcore techno|Symphonic black metal|Disco Lento|Japanese Pop|Doom metal|New Wave|Electronic art|Acoustic guitar|Seven-string guitar|Madrigal|Music of Wyoming|Nu metal|Grindcore|Sacred|Disco Lento|Madrigal|Progressive rock|Ramkbach|New Wave|Breakbeat hardcore|Grindcore
30	Steven Wilson	Virtual band|Music of Montenegro|Music of Rostov|Pop|Mozarabic chant|Grunge|Doo-wop|Metallic Doom Rock|Gospel|Adult album alternative|Punk rock|Post-rock|Educational|Southern Gospel|Modal jazz|British Invasion|Salsa|Melodic hardcore|Milonga|Guaguancó
31	Stevie Ray Vaughan	Emo violence|Grindcore|Pop|Blues ballad|Alternative dance|Emo violence|West Coast blues|Oi!|Neo-classical metal|Music of Montenegro|Emo|Metallic Doom Rock
32	The xx	Doo-wop|Synthpop|Electronic opera|Metallic Doom Rock|Glam metal|Clownstep|Post-punk|Virtual band|Punk blues|Pop|Grunge|Psychedelic rock|Mambo|Kusemai|Melodic hardcore|Speed metal|Salsa|Gospel|Acid techno|Rapso|Música Popular Brasileira|Synthpop
33	Arch Enemy	Drum and bass|Jam rock|Folk metal|Grindcore|Blues|Pop
34	Enslaved	Acid jazz|Post-rock|Jam rock|Celtic Fusion|Music of Rostov|Hardcore punk|Virtual band|Drum and bass
35	Virgin Snatch	Drum and bass|Jam rock|Deathcore|Disc jockey|Sludge metal
36	Machine Head	Jam rock|Deathcore|Grindcore|Sludge metal|New Wave|Hardcore techno|Pop|Disc jockey|Seven-string guitar|Drum and bass|New Wave|Emo|Metallic Doom Rock|Post-rock|Goregrind
37	Ozzy Osbourne	Emo|Jam rock|Grindcore|Pop|Mathcore|Melodic hardcore|Metallic Doom Rock|Folk metal
38	Kreator	Jam rock|Grindcore|Disc jockey|Samba|Drum and bass|Bassoon sonata
39	Pidżama Porno	Pop|Metallic Doom Rock|Japanese Pop|Gospel|Minimal techno
40	Wintersun	Hardcore punk|Acid jazz|Jam rock|Psychobilly|Drum and bass|Post-rock|Jam band|Blues|Celtic Fusion|G-funk|Samba
41	Iluzjon	Mozarabic chant|Pop|Music of Rostov|Mozarabic chant|Gospel|Post-punk|Hardcore techno|Dub poetry
42	Budgie	Grindcore|Grindcore|Pop|Breakbeat hardcore|Jam rock|Detroit techno|Mathcore|Post-rock|Music of Rostov|Punk rock|Melodic hardcore|Emo violence|Folk jazz|West Coast hip hop|Adult album alternative|Plena
43	Slayer	Jam rock|Samba|Grindcore|Disc jockey|Drum and bass|Pop|Seven-string guitar
44	Hurts	Doo-wop|Mambo|Merengue|Psychedelic rock|Sacred|Danzón|Deathrock|Metallic Doom Rock|Visual Kei|Melodic hardcore|Glam rock|Salsa|Pop|Electronic opera|Clownstep
45	The Kooks	Post-punk|Glam rock|Metallic Doom Rock|Pop|Gospel|Clownstep|Melodic hardcore|Psychedelic rock|Bozlak|Acid rock|Plena
46	Coldplay	Metallic Doom Rock|Glam rock|Gospel|Sacred|Psychedelic rock|Post-punk|Acid rock|French classical|Melodic hardcore|Grime|Punk blues|Computer Rock|Clownstep|Bozlak|Music of Montenegro|Industrial|Grindcore|Doo-wop|Glam rock|Acid rock
