Region	Population	GDP
Afghanistan	32526562	507.1
Netherlands Antilles	304759	19000.0
Albania	2889167	5353.2
Algeria	39666519	3974.0
Andorra	70473	40886.4
Angola	25021974	2790.7
Antigua and Barbuda	91818	17112.8
Australasia		
Argentina	43416755	9912.3
Armenia	3017712	4622.7
Aruba	103889	29007.7
American Samoa	55538	11466.7
Australia	23781169	55060.3
Austria	8611088	50137.7
Azerbaijan	9651349	4793.6
Bahamas	388019	34863.7
Bangladesh	160995642	1855.7
Barbados	284215	18148.2
Burundi	11178921	261.2
Belgium	11285721	46420.7
Benin	10879829	1219.4
Bermuda	65235	117089.3
Bhutan	774830	3316.2
Bosnia and Herzegovina	3810416	6108.5
Belize	359287	4815.2
Belarus	9513000	6663.3
Bohemia		
Boliva	10724705	3552.1
Botswana	2262485	7961.3
Brazil	207847528	8717.2
Bahrain	1377237	23504.0
Brunei Darussalam	423188	31086.8
Bulgaria	7177991	9828.1
Burkina Faso	18105570	786.9
British West Indies		
Central African Republic	4900274	467.9
Cambodia	15577899	1643.1
Canada	35851774	46194.7
Cayman Islands	59967	85975.0
Congo	4620330	2280.0
Chad	14037472	709.5
Chile	17948141	14896.5
People's Republic of China	1371220000	10216.6
Côte d'Ivoire	22701556	2276.3
Cameroon	23344179	1507.5
Democratic Republic of the Congo	77266814	580.7
Cook Islands	17459	20721.5
Colombia	48228704	6428.7
Comoros	788474	1370.1
Korea		
Cape Verde	520502	3603.8
Costa Rica	4807850	12243.8
Croatia	4224404	14936.1
Cuba	11389562	8821.8
Cyprus	1165300	27858.4
Czech Republic	10551219	23494.6
Denmark	5676002	60170.3
Djibouti	887861	3414.9
Dominica	72680	8110.6
Dominican Republic	10528391	8282.1
Ecuador	16144363	6183.8
Egypt	91508084	3019.2
IOC Refugee Olympic Team		
Eritrea	6081196	642.5
El Salvador	6126583	4187.3
Spain	46418269	29600.4
Estonia	1311998	23723.3
Ethiopia	99390750	855.8
United Team of Germany		
Unified Team		
Fiji	892145	6175.9
Finland	5482013	48782.8
France	66808385	40493.9
West Germany		
Federated States of Micronesia	104460	3568.3
Gabon	1725292	7767.0
Gambia	1990924	777.8
Great Britain	65138232	42330.1
Guinea-Bissau	1844325	697.3
East Germany		
Georgia	3679000	4697.7
Equatorial Guinea	845060	8131.9
Germany	81413145	46445.2
Ghana	27409893	2202.1
Greece	10823732	19582.5
Grenada	106825	10808.7
Guatemala	16342897	4620.0
Guinea	12608590	962.8
Guam	169885	35712.6
Guyana	767085	6609.6
Haiti	10711067	1272.5
Hong Kong; China	7305700	48713.5
Honduras	8075060	2574.9
Hungary	9844686	16731.8
Indonesia	257563815	4135.6
India	1311050527	2099.6
Independent Olympic Athletes		
Athletes from Kuwait		
Independent Olympic Participants		
Islamic Republic of Iran	79109272	5550.1
Ireland	4640703	78661.0
Iraq	36423395	5955.1
Iceland	330823	66944.8
Israel	8380400	43592.1
Virgin Islands; US	103574	35938.0
Italy	60802085	33228.2
Virgin Islands; British	30117	34200.0
Jamaica	2725941	5582.3
Jordan	7594547	4405.5
Japan	126958472	40246.9
Kazakhstan	17544126	9812.4
Kenya	46050302	1816.5
Kyrgyzstan	5957000	1309.4
Kiribati	119940	1655.1
Republic of Korea	50617045	31846.2
Kosovo	1873160	4649.0
Saudi Arabia	31540372	23139.8
Kuwait	3892115	32000.4
Lao People's Democratic Republic	6802023	2534.9
Latvia	1978440	17828.9
Libya	6278438	7685.9
Lebanon	5850743	7583.7
Liberia	4503438	621.9
Saint Lucia	184999	7735.9
Lesotho	2135022	1118.1
Liechtenstein	37531	181402.8
Lithuania	2910199	19601.9
Luxembourg	569676	114704.6
Madagascar	24235390	523.4
Morocco	34377511	3204.1
Malaysia	30331007	11414.2
Malawi	17215232	411.6
Republic of Moldova	3554150	4503.5
Maldives	409163	10626.5
Mexico	127017224	9946.0
Mongolia	2959134	4339.8
Marshall Islands	58413	3788.2
Republic of North Macedonia	2078453	6022.2
Mali	17599694	879.0
Malta	431333	29820.6
Montenegro	621873	8908.9
Monaco	37731	185829.0
Mozambique	27977863	503.6
Mauritius	1262605	11099.2
Mauritania	4067564	1679.4
Myanmar	53897154	1407.8
Namibia	2458830	4957.5
Nicaragua	6082032	1912.9
Netherlands	16936520	52331.3
Nepal	28513700	1071.1
Nigeria	182201962	2229.9
Niger	19899120	553.9
Norway	5195921	75419.6
Nauru	10222	9397.0
New Zealand	4595700	42084.4
Oman	4490541	15343.1
Pakistan	188924874	1284.7
Panama	3929141	15731.0
Paraguay	6639123	5414.8
Peru	31376670	6977.7
Philippines	100699395	3485.1
Palestine	5159076	3562.3
Palau	21291	14902.0
Papua New Guinea	7619321	2829.2
Poland	37999494	15692.5
Portugal	10348648	23252.1
Democratic People's Republic of Korea	25155317	1300.0
Puerto Rico	3474182	32873.7
Qatar	2235355	62088.1
Refugee Olympic Team		
Romania	19832389	12919.5
South Africa	54956920	6001.4
Russian Federation	144096812	11585.0
Rwanda	11609666	820.0
Samoa	193228	4324.0
Serbia and Montenegro		
Senegal	15129273	1446.8
Seychelles	92900	17448.3
Singapore	5535002	65233.3
Saint Kitts and Nevis	55572	15771.9
Sierra Leone	6453184	527.5
Slovenia	2063768	25946.2
San Marino	31781	48995.1
Solomon Islands	583591	2373.6
Somalia	10787104	126.9
Serbia	7098247	7411.8
Sri Lanka	20966000	3853.1
South Sudan	12778250	1119.7
Sao Tome and Principe	190344	1946.6
Sudan	40234882	441.5
Switzerland	8286976	81993.7
Suriname	542975	6359.8
Slovakia	5424050	19266.3
Sweden	9798871	51615.0
Eswatini	1286970	3894.7
Syrian Arab Republic	18502413	2032.6
United Republic of Tanzania	53470420	1122.1
Czechoslovakia		
Thailand	67959359	7806.7
Tajikistan	8481855	870.8
Turkmenistan	5373502	6966.6
Democratic Republic of Timor-Leste	1245015	1560.5
Togo	7304578	679.3
Tonga	106170	4903.2
Chinese Taipei		
Trinidad and Tobago	1360088	17398.0
Tunisia	11107800	3317.5
Turkey	78665830	9126.6
Tuvalu	11646	4059.0
United Arab Emirates	9156963	43103.3
Uganda	39032383	794.3
Ukraine	45198200	3659.0
Unknown		
Soviet Union		
Uruguay	3431555	16190.1
United States of America	321418820	65297.5
Uzbekistan	31299500	1724.8
Vanuatu	264652	3115.4
Venezuela	31108083	16054.5
Vietnam	91703800	2715.3
St Vincent and the Grenadines	109462	6739.2
Yemen	26832215	774.3
Yugoslavia		
Zambia	16211767	1305.1
Zimbabwe	15602751	1464.0
