festival_id	name	begin	duration	where	country	visitors	price
1	SommerZeitFels Festival	2022-07-08	44	outdoor	Austria	no data	€ 0.00
2	Ascona Music Festival	2022-07-08	87	indoor	Switzerland	500	€ 54.75
3	Open Air Seedorf	2022-07-16	1827	outdoor	Germany	700	€ 10.00
4	GutsBLUES Festival	2022-07-29	34	outdoor	Germany	no data	€ 67.23
5	Summer Breeze	2022-08-17	4	outdoor	Germany	45000	€ 169.00
6	Reload Festival	2022-08-18	3	outdoor	Germany	12000	€ 89.00
7	Kaltenbach Open Air	2022-08-18	3	outdoor	Austria	no data	€ 78.75
8	Obstwiesenfestival	2022-08-18	3	outdoor	Germany	15000	€ 0.00
9	Pukkelpop Festival	2022-08-18	4	outdoor	Belgium	189000	
10	FM4 Frequency Festival	2022-08-18	3	outdoor	Austria	200000	
11	Stella Nomine Festival	2022-08-18	3	outdoor	Germany	no data	€ 66.60
12	Barther Metal Open Air	2022-08-18	3	outdoor	Germany	1000	€ 59.99
13	Open Air Gampel	2022-08-18	4	outdoor	Switzerland	100000	€ 247.00
14	Spirit Festival	2022-08-18	3	unknown	Germany	10000	€ 74.00
15	Motocultor Festival	2022-08-18	4	outdoor	France	42000	€ 133.00
16	Bau Mich Auf Festival	2022-08-18	4	outdoor	Germany	1500	€ 95.00
17	MS Dockville	2022-08-19	3	outdoor	Germany	75000	
18	Echelon Open Air & Indoor Festival	2022-08-19	3	unknown	Germany	250000	
19	Highfield Festival	2022-08-19	3	outdoor	Germany	35000	€ 159.00
20	Burgbrand Open Air	2022-08-19	3	outdoor	Germany	1300	
21	Niemandsland Festival	2022-08-19	1	indoor	Germany	2500	€ 15.00
22	meetMUSIC Open Air	2022-08-19	3	outdoor	Germany	300	
23	Karben Open Air	2022-08-19	3	outdoor	Germany	1500	€ 45.00
24	Lowlands Festival	2022-08-19	3	outdoor	Netherlands	90000	€ 255.00
25	Chiemgau Outdoor Festival	2022-08-19	3	outdoor	Germany	12000	
26	Wake Up Festival	2022-08-19	2	outdoor	Germany	900	
27	Turock Open Air	2022-08-19	2	outdoor	Germany	no data	€ 0.00
28	Festival FLINTA*SPHERE	2022-08-19	2	outdoor	Germany	400	€ 14.00
29	Wilde Möhre Festival	2022-08-19	4	outdoor	Germany	4000	
30	Bautz Festival	2022-08-19	2	outdoor	Germany	10000	€ 64.50
31	Angeliter Open Air	2022-08-19	2	outdoor	Germany	2000	€ 50.20
32	Stemweder Open Air	2022-08-19	2	outdoor	Germany	12000	€ 0.00
33	See more Jazz Festival	2022-08-19	3	outdoor	Germany	600	€ 61.00
34	Buschtanz Festival	2022-08-19	3	outdoor	Germany	600	€ 99.00
35	Rock den Deich Festival	2022-08-20	1	outdoor	Germany	3500	€ 0.00
36	Ackerbrand Festival	2022-08-20	1	outdoor	Germany	700	€ 33.00
37	San Hejmo Festival	2022-08-20	1	outdoor	Germany	25000	€ 59.00
38	Heidebeat Festival	2022-08-20	1	outdoor	Germany	no data	
39	Elbriot Festival	2022-08-20	1	outdoor	Germany	13000	€ 67.40
40	Geh ma Ziegenbrink Open Air	2022-08-20	1	outdoor	Germany	no data	€ 10.00
41	Sonus Festival	2022-08-21	5	outdoor	Croatia	20000	
42	Horn to be Wild Festival	2022-08-22	1	outdoor	Germany	900	€ 15.00
43	Baltic Open Air	2022-08-24	4	outdoor	Germany	11000	€ 116.80
44	Pop-Kultur	2022-08-24	3	indoor	Germany	3500	€ 70.00
45	Neuborn Open Air	2022-08-25	4	outdoor	Germany	no data	
46	Festival ohne Grund	2022-08-25	3	outdoor	Germany	2500	€ 25.00
47	Death Feast	2022-08-25	3	outdoor	Germany	2000	€ 66.50
48	Stadtfest Oldenburg	2022-08-25	3	outdoor	Germany	350000	€ 0.00
49	Norden Festival	2022-08-25	18	outdoor	Germany	12000	€ 39.00
50	Wolfszeit Festival	2022-08-25	3	outdoor	Germany	no data	€ 109.00
51	Riedler Open Air	2022-08-25	3	outdoor	Germany	1200	€ 34.90
52	Rock en Seine Festival	2022-08-25	4	outdoor	France	100000	€ 159.00
